stamp,mean_abs_err_cm,var_abs_err_cm2,count,density,conf_mean,conf_var
1757175779.191,34.274873,2438.854277,38400,1.000000,0.825849,0.002351
1757175779.191,34.274873,2438.854277,38400,1.000000,0.825849,0.002351
1757175779.291,39.743274,2867.451608,38400,1.000000,0.829980,0.002510
1757175779.391,39.355323,3033.275008,38400,1.000000,0.818044,0.002890
1757175779.491,43.138143,2998.553813,38400,1.000000,0.826982,0.002012
1757175779.591,40.585354,3246.088028,38400,1.000000,0.821035,0.002035
1757175779.691,43.823913,5276.215672,38400,1.000000,0.818403,0.002143
1757175779.791,40.950054,3572.327793,38400,1.000000,0.816963,0.002188
1757175779.891,42.769495,3796.410859,38400,1.000000,0.822011,0.001867
1757175779.991,39.346978,2810.863554,38400,1.000000,0.822458,0.002126
1757175780.091,43.263280,3841.021061,38400,1.000000,0.818973,0.002340
1757175780.191,40.845880,3626.732826,38400,1.000000,0.823191,0.001967
1757175780.291,40.113866,3532.784879,38400,1.000000,0.822120,0.002621
1757175780.391,40.853301,3847.781420,38400,1.000000,0.818452,0.002393
1757175780.491,85.986245,20974.099636,38400,1.000000,0.822298,0.002420
1757175780.591,43.562359,4088.333249,38400,1.000000,0.816285,0.002970
1757175780.691,46.585265,5172.146559,38400,1.000000,0.820762,0.002426
1757175780.791,45.504883,4341.140091,38400,1.000000,0.822617,0.002591
1757175780.891,42.628887,3773.669899,38400,1.000000,0.822470,0.002519
1757175780.991,45.737967,4144.471586,38400,1.000000,0.821071,0.002566
1757175781.091,46.060368,3736.012578,38400,1.000000,0.822763,0.002348
1757175781.191,44.660705,4139.583111,38400,1.000000,0.822961,0.001981
1757175781.291,44.131464,3649.125993,38400,1.000000,0.818447,0.002700
1757175781.391,40.302193,3159.244359,38400,1.000000,0.826509,0.002544
1757175781.491,44.979298,4976.053238,38400,1.000000,0.831617,0.001891
1757175781.591,51.890177,6054.177284,38400,1.000000,0.823762,0.002494
1757175781.691,44.809991,4281.197488,38400,1.000000,0.824287,0.002555
1757175781.791,47.478205,5476.959348,38400,1.000000,0.819401,0.003250
1757175781.891,42.610577,3521.189988,38400,1.000000,0.819404,0.003188
1757175781.991,41.228291,3500.890136,38400,1.000000,0.813469,0.002985
1757175782.091,40.338162,3056.465685,38400,1.000000,0.818858,0.002949
1757175782.191,38.552111,2830.795944,38400,1.000000,0.817811,0.002739
1757175782.291,40.481821,3039.418757,38400,1.000000,0.818178,0.002854
1757175782.391,39.490980,2955.230176,38400,1.000000,0.822021,0.001974
1757175782.491,42.219657,3893.395662,38400,1.000000,0.824157,0.002320
1757175782.591,41.955507,3620.830774,38400,1.000000,0.826215,0.002133
1757175782.691,44.427556,4441.578090,38400,1.000000,0.826318,0.002212
1757175782.791,46.880347,5606.641769,38400,1.000000,0.815775,0.003539
1757175782.891,44.033030,3937.382400,38400,1.000000,0.829833,0.001472
1757175782.991,63.466340,7105.269432,38400,1.000000,0.830002,0.002088
1757175783.091,61.459905,6595.616937,38400,1.000000,0.831911,0.002011
1757175783.191,70.107871,9677.115679,38400,1.000000,0.821108,0.002414
1757175783.291,45.460927,4069.807529,38400,1.000000,0.823413,0.002453
1757175783.391,51.663947,5610.017180,38400,1.000000,0.826243,0.002627
1757175783.491,52.621824,6110.725999,38400,1.000000,0.828012,0.002200
1757175783.591,46.849731,5128.347278,38400,1.000000,0.826704,0.001831
1757175783.691,44.625413,4026.514292,38400,1.000000,0.826165,0.002052
1757175783.791,46.823597,4867.367446,38400,1.000000,0.830007,0.002365
1757175783.891,42.627716,3840.386569,38400,1.000000,0.824697,0.002358
1757175783.991,43.925512,3933.749795,38400,1.000000,0.824632,0.002341
1757175784.091,49.079472,5389.643908,38400,1.000000,0.820299,0.003150
1757175784.191,50.999874,5642.396212,38400,1.000000,0.824941,0.002540
1757175779.191,34.274873,2438.854277,38400,1.000000,0.825849,0.002351
1757175779.291,39.743274,2867.451608,38400,1.000000,0.829980,0.002510
1757175779.391,39.355323,3033.275008,38400,1.000000,0.818044,0.002890
1757175779.491,43.138143,2998.553813,38400,1.000000,0.826982,0.002012
1757175779.591,40.585354,3246.088028,38400,1.000000,0.821035,0.002035
1757175779.691,43.823913,5276.215672,38400,1.000000,0.818403,0.002143
1757175779.791,40.950054,3572.327793,38400,1.000000,0.816963,0.002188
1757175779.891,42.769495,3796.410859,38400,1.000000,0.822011,0.001867
1757175779.991,39.346978,2810.863554,38400,1.000000,0.822458,0.002126
1757175780.091,43.263280,3841.021061,38400,1.000000,0.818973,0.002340
1757175780.191,40.845880,3626.732826,38400,1.000000,0.823191,0.001967
1757175780.291,40.113866,3532.784879,38400,1.000000,0.822120,0.002621
1757175780.391,40.853301,3847.781420,38400,1.000000,0.818452,0.002393
1757175780.491,85.986245,20974.099636,38400,1.000000,0.822298,0.002420
1757175780.591,43.562359,4088.333249,38400,1.000000,0.816285,0.002970
1757175780.691,46.585265,5172.146559,38400,1.000000,0.820762,0.002426
1757175780.791,45.504883,4341.140091,38400,1.000000,0.822617,0.002591
1757175780.891,42.628887,3773.669899,38400,1.000000,0.822470,0.002519
1757175780.991,45.737967,4144.471586,38400,1.000000,0.821071,0.002566
1757175781.091,46.060368,3736.012578,38400,1.000000,0.822763,0.002348
1757175781.191,44.660705,4139.583111,38400,1.000000,0.822961,0.001981
1757175781.291,44.131464,3649.125993,38400,1.000000,0.818447,0.002700
1757175781.391,40.302193,3159.244359,38400,1.000000,0.826509,0.002544
1757175781.491,44.979298,4976.053238,38400,1.000000,0.831617,0.001891
1757175781.591,51.890177,6054.177284,38400,1.000000,0.823762,0.002494
1757175781.691,44.809991,4281.197488,38400,1.000000,0.824287,0.002555
1757175781.791,47.478205,5476.959348,38400,1.000000,0.819401,0.003250
1757175781.891,42.610577,3521.189988,38400,1.000000,0.819404,0.003188
1757175781.991,41.228291,3500.890136,38400,1.000000,0.813469,0.002985
1757175782.091,40.338162,3056.465685,38400,1.000000,0.818858,0.002949
1757175782.191,38.552111,2830.795944,38400,1.000000,0.817811,0.002739
1757175782.291,40.481821,3039.418757,38400,1.000000,0.818178,0.002854
1757175782.391,39.490980,2955.230176,38400,1.000000,0.822021,0.001974
1757175782.491,42.219657,3893.395662,38400,1.000000,0.824157,0.002320
1757175782.591,41.955507,3620.830774,38400,1.000000,0.826215,0.002133
1757175782.691,44.427556,4441.578090,38400,1.000000,0.826318,0.002212
1757175782.791,46.880347,5606.641769,38400,1.000000,0.815775,0.003539
1757175782.891,44.033030,3937.382400,38400,1.000000,0.829833,0.001472
1757175782.991,63.466340,7105.269432,38400,1.000000,0.830002,0.002088
1757175783.091,61.459905,6595.616937,38400,1.000000,0.831911,0.002011
1757175783.191,70.107871,9677.115679,38400,1.000000,0.821108,0.002414
1757175783.291,45.460927,4069.807529,38400,1.000000,0.823413,0.002453
1757175783.391,51.663947,5610.017180,38400,1.000000,0.826243,0.002627
1757175783.491,52.621824,6110.725999,38400,1.000000,0.828012,0.002200
1757175783.591,46.849731,5128.347278,38400,1.000000,0.826704,0.001831
1757175783.691,44.625413,4026.514292,38400,1.000000,0.826165,0.002052
1757175783.791,46.823597,4867.367446,38400,1.000000,0.830007,0.002365
1757175783.891,42.627716,3840.386569,38400,1.000000,0.824697,0.002358
1757175783.991,43.925512,3933.749795,38400,1.000000,0.824632,0.002341
1757175784.091,49.079472,5389.643908,38400,1.000000,0.820299,0.003150
1757175784.191,50.999874,5642.396212,38400,1.000000,0.824941,0.002540
1757175784.291,46.927470,4563.697875,38400,1.000000,0.828226,0.002335
1757175784.391,48.528370,5323.725939,38400,1.000000,0.820178,0.002719
1757175784.491,55.533844,6316.766143,38400,1.000000,0.825078,0.002534
1757175784.591,41.528451,3498.898745,38400,1.000000,0.823795,0.002555
1757175784.691,46.665284,5091.492534,38400,1.000000,0.825277,0.002201
1757175784.791,48.038980,4779.655039,38400,1.000000,0.818395,0.002431
1757175784.891,52.855748,7214.805484,38400,1.000000,0.817784,0.002867
1757175784.991,53.402990,9189.015627,38400,1.000000,0.816777,0.003031
1757175785.091,46.228296,6576.667428,38400,1.000000,0.820335,0.002734
1757175785.191,48.708609,7785.715461,38400,1.000000,0.819350,0.002437
